date,state,district,pincode,enrol_0_5,enrol_5_17,enrol_18_plus,bio_update_child,bio_update_adult,demo_update_child,demo_update_adult,suspicion_score
2025-11-04,Delhi,North West Delhi,110086,1.0,0.0,0.0,105.0,150.0,21.0,135.0,150.0
2025-12-04,Delhi,North West Delhi,110086,0.0,0.0,0.0,133.0,175.0,29.0,180.0,175.0
2025-12-04,Delhi,North West Delhi,110086,0.0,0.0,0.0,133.0,175.0,29.0,180.0,175.0
2025-09-05,Delhi,North West Delhi,110086,15.0,2.0,0.0,37.0,51.0,14.0,112.0,51.0
2025-11-05,Delhi,North West Delhi,110086,31.0,4.0,0.0,78.0,124.0,18.0,183.0,124.0
2025-12-05,Delhi,North West Delhi,110086,0.0,0.0,0.0,169.0,182.0,0.0,0.0,182.0
2025-09-06,Delhi,North West Delhi,110086,44.0,15.0,0.0,136.0,174.0,36.0,126.0,174.0
2025-09-06,Delhi,North West Delhi,110086,44.0,15.0,0.0,136.0,174.0,36.0,126.0,174.0
2025-11-06,Delhi,North West Delhi,110086,17.0,8.0,1.0,112.0,152.0,40.0,197.0,76.0
2025-12-06,Delhi,North West Delhi,110086,0.0,0.0,0.0,173.0,175.0,26.0,195.0,175.0
2025-09-07,Delhi,North West Delhi,110086,11.0,1.0,0.0,24.0,22.0,8.0,58.0,22.0
2025-11-07,Delhi,North West Delhi,110086,33.0,4.0,0.0,102.0,135.0,0.0,0.0,135.0
2025-12-07,Delhi,North West Delhi,110086,0.0,0.0,0.0,85.0,78.0,21.0,180.0,78.0
2025-09-08,Delhi,North West Delhi,110086,40.0,12.0,1.0,127.0,179.0,27.0,138.0,89.5
2025-09-08,Delhi,North West Delhi,110086,40.0,12.0,1.0,127.0,179.0,27.0,138.0,89.5
2025-11-08,Delhi,North West Delhi,110086,24.0,6.0,0.0,68.0,100.0,13.0,138.0,100.0
2025-11-08,Delhi,North West Delhi,110086,24.0,6.0,0.0,68.0,100.0,13.0,138.0,100.0
2025-12-08,Delhi,North West Delhi,110086,0.0,0.0,0.0,140.0,176.0,30.0,270.0,176.0
2025-12-08,Delhi,North West Delhi,110086,0.0,0.0,0.0,140.0,176.0,30.0,270.0,176.0
2025-09-09,Delhi,North West Delhi,110086,42.0,12.0,0.0,154.0,207.0,26.0,156.0,207.0
2025-11-09,Delhi,North West Delhi,110086,32.0,6.0,0.0,61.0,64.0,18.0,113.0,64.0
2025-12-09,Delhi,North West Delhi,110086,0.0,0.0,0.0,158.0,189.0,27.0,225.0,189.0
2025-12-09,Delhi,North West Delhi,110086,0.0,0.0,0.0,158.0,189.0,27.0,225.0,189.0
2025-12-09,Delhi,North West Delhi,110086,0.0,0.0,0.0,158.0,189.0,27.0,225.0,189.0
2025-12-09,Delhi,North West Delhi,110086,0.0,0.0,0.0,158.0,189.0,27.0,225.0,189.0
2025-09-10,Delhi,North West Delhi,110086,38.0,5.0,0.0,165.0,166.0,26.0,168.0,166.0
2025-11-10,Delhi,North West Delhi,110086,54.0,10.0,1.0,110.0,146.0,16.0,182.0,73.0
2025-12-10,Delhi,North West Delhi,110086,0.0,0.0,0.0,152.0,167.0,0.0,0.0,167.0
2025-09-11,Delhi,North West Delhi,110086,25.0,13.0,0.0,147.0,180.0,27.0,165.0,180.0
2025-11-11,Delhi,North West Delhi,110086,22.0,3.0,0.0,105.0,147.0,22.0,187.0,147.0
2025-12-11,Delhi,North West Delhi,110086,0.0,0.0,0.0,169.0,184.0,23.0,236.0,184.0
2025-12-11,Delhi,North West Delhi,110086,0.0,0.0,0.0,169.0,184.0,23.0,236.0,184.0
2025-09-12,Delhi,North West Delhi,110086,24.0,7.0,0.0,140.0,174.0,27.0,164.0,174.0
2025-11-12,Delhi,North West Delhi,110086,33.0,4.0,0.0,110.0,133.0,0.0,0.0,133.0
2025-12-12,Delhi,North West Delhi,110086,0.0,0.0,0.0,221.0,185.0,38.0,195.0,185.0
2025-12-12,Delhi,North West Delhi,110086,0.0,0.0,0.0,221.0,185.0,38.0,195.0,185.0
2025-09-13,Delhi,North West Delhi,110086,23.0,4.0,0.0,154.0,108.0,24.0,139.0,108.0
2025-10-13,Delhi,North West Delhi,110086,31.0,4.0,0.0,0.0,0.0,1.0,42.0,0.0
2025-11-13,Delhi,North West Delhi,110086,22.0,1.0,2.0,122.0,94.0,25.0,165.0,31.33333333333333
2025-12-13,Delhi,North West Delhi,110086,0.0,0.0,0.0,153.0,144.0,29.0,235.0,144.0
2025-09-14,Delhi,North West Delhi,110086,3.0,0.0,0.0,24.0,27.0,14.0,82.0,27.0
2025-11-14,Delhi,North West Delhi,110086,21.0,3.0,0.0,97.0,105.0,19.0,157.0,105.0
2025-11-14,Delhi,North West Delhi,110086,21.0,3.0,0.0,97.0,105.0,19.0,157.0,105.0
2025-11-14,Delhi,North West Delhi,110086,21.0,3.0,0.0,97.0,105.0,19.0,157.0,105.0
2025-11-14,Delhi,North West Delhi,110086,21.0,3.0,0.0,97.0,105.0,19.0,157.0,105.0
2025-12-14,Delhi,North West Delhi,110086,0.0,0.0,0.0,25.0,29.0,36.0,215.0,29.0
2025-12-14,Delhi,North West Delhi,110086,0.0,0.0,0.0,25.0,29.0,36.0,215.0,29.0
2025-03-15,Delhi,North West Delhi,110086,35.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0
2025-09-15,Delhi,North West Delhi,110086,28.0,4.0,0.0,118.0,150.0,25.0,166.0,150.0
2025-10-15,Delhi,North West Delhi,110086,25.0,9.0,0.0,0.0,0.0,21.0,186.0,0.0
2025-10-15,Delhi,North West Delhi,110086,25.0,9.0,0.0,0.0,0.0,21.0,186.0,0.0
2025-11-15,Delhi,North West Delhi,110086,0.0,0.0,0.0,97.0,91.0,12.0,136.0,91.0
2025-12-15,Delhi,North West Delhi,110086,85.0,8.0,0.0,84.0,112.0,22.0,147.0,112.0
2025-12-15,Delhi,North West Delhi,110086,85.0,8.0,0.0,84.0,112.0,22.0,147.0,112.0
2025-09-16,Delhi,North West Delhi,110086,28.0,8.0,0.0,144.0,143.0,16.0,130.0,143.0
2025-10-16,Delhi,North West Delhi,110086,0.0,0.0,0.0,80.0,111.0,32.0,158.0,111.0
2025-11-16,Delhi,North West Delhi,110086,33.0,6.0,0.0,112.0,92.0,15.0,90.0,92.0
2025-12-16,Delhi,North West Delhi,110086,0.0,0.0,0.0,249.0,230.0,20.0,205.0,230.0
2025-09-17,Delhi,North West Delhi,110086,17.0,9.0,1.0,118.0,162.0,33.0,137.0,81.0
2025-10-17,Delhi,North West Delhi,110086,42.0,11.0,0.0,96.0,125.0,12.0,101.0,125.0
2025-11-17,Delhi,North West Delhi,110086,22.0,0.0,1.0,91.0,94.0,21.0,133.0,47.0
2025-09-18,Delhi,North West Delhi,110086,17.0,5.0,0.0,120.0,127.0,17.0,108.0,127.0
2025-09-18,Delhi,North West Delhi,110086,17.0,5.0,0.0,120.0,127.0,17.0,108.0,127.0
2025-10-18,Delhi,North West Delhi,110086,19.0,4.0,0.0,88.0,118.0,0.0,0.0,118.0
2025-11-18,Delhi,North West Delhi,110086,41.0,7.0,0.0,99.0,159.0,0.0,0.0,159.0
2025-12-18,Delhi,North West Delhi,110086,0.0,0.0,0.0,21.0,24.0,2.0,25.0,24.0
2025-12-18,Delhi,North West Delhi,110086,0.0,0.0,0.0,21.0,24.0,2.0,25.0,24.0
2025-09-19,Delhi,North West Delhi,110086,23.0,11.0,0.0,191.0,165.0,23.0,140.0,165.0
2025-09-19,Delhi,North West Delhi,110086,23.0,11.0,0.0,191.0,165.0,23.0,140.0,165.0
2025-10-19,Delhi,North West Delhi,110086,25.0,5.0,0.0,101.0,107.0,19.0,114.0,107.0
2025-11-19,Delhi,North West Delhi,110086,75.0,13.0,0.0,55.0,77.0,13.0,205.0,77.0
2025-11-19,Delhi,North West Delhi,110086,75.0,13.0,0.0,55.0,77.0,13.0,205.0,77.0
2025-12-19,Delhi,North West Delhi,110086,0.0,0.0,0.0,197.0,224.0,0.0,0.0,224.0
2025-09-20,Delhi,North West Delhi,110086,17.0,9.0,0.0,240.0,144.0,30.0,153.0,144.0
2025-09-20,Delhi,North West Delhi,110086,17.0,9.0,0.0,240.0,144.0,30.0,153.0,144.0
2025-10-20,Delhi,North West Delhi,110086,1.0,2.0,1.0,0.0,5.0,1.0,27.0,2.5
2025-10-20,Delhi,North West Delhi,110086,1.0,2.0,1.0,0.0,5.0,1.0,27.0,2.5
2025-12-20,Delhi,North West Delhi,110086,0.0,0.0,0.0,100.0,102.0,36.0,229.0,102.0
2025-09-21,Delhi,North West Delhi,110086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,Delhi,North West Delhi,110086,1.0,2.0,0.0,0.0,9.0,8.0,41.0,9.0
2025-12-21,Delhi,North West Delhi,110086,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,Delhi,North West Delhi,110086,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,Delhi,North West Delhi,110086,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,Delhi,North West Delhi,110086,0.0,0.0,0.0,2.0,2.0,4.0,9.0,2.0
2025-12-22,Delhi,North West Delhi,110086,143.0,1.0,0.0,0.0,0.0,19.0,129.0,0.0
2025-09-23,Delhi,North West Delhi,110086,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,Delhi,North West Delhi,110086,0.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0
2025-12-23,Delhi,North West Delhi,110086,70.0,0.0,0.0,0.0,0.0,21.0,229.0,0.0
2025-12-23,Delhi,North West Delhi,110086,70.0,0.0,0.0,0.0,0.0,21.0,229.0,0.0
2025-09-24,Delhi,North West Delhi,110086,20.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,Delhi,North West Delhi,110086,21.0,6.0,1.0,71.0,90.0,17.0,153.0,45.0
2025-12-24,Delhi,North West Delhi,110086,33.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-09-25,Delhi,North West Delhi,110086,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-25,Delhi,North West Delhi,110086,24.0,4.0,1.0,110.0,157.0,0.0,0.0,78.5
2025-11-25,Delhi,North West Delhi,110086,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,Delhi,North West Delhi,110086,30.0,8.0,0.0,297.0,316.0,36.0,248.0,316.0
2025-09-26,Delhi,North West Delhi,110086,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,Delhi,North West Delhi,110086,19.0,6.0,0.0,131.0,143.0,14.0,151.0,143.0
2025-10-26,Delhi,North West Delhi,110086,19.0,6.0,0.0,131.0,143.0,14.0,151.0,143.0
2025-11-26,Delhi,North West Delhi,110086,0.0,0.0,0.0,0.0,0.0,10.0,121.0,0.0
2025-12-26,Delhi,North West Delhi,110086,32.0,7.0,0.0,224.0,308.0,30.0,198.0,308.0
2025-09-27,Delhi,North West Delhi,110086,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,Delhi,North West Delhi,110086,6.0,3.0,0.0,84.0,120.0,0.0,0.0,120.0
2025-11-27,Delhi,North West Delhi,110086,0.0,0.0,0.0,0.0,0.0,24.0,206.0,0.0
2025-12-27,Delhi,North West Delhi,110086,38.0,3.0,0.0,278.0,321.0,27.0,232.0,321.0
2025-10-28,Delhi,North West Delhi,110086,17.0,4.0,1.0,32.0,53.0,0.0,0.0,26.5
2025-11-28,Delhi,North West Delhi,110086,0.0,0.0,0.0,0.0,0.0,23.0,175.0,0.0
2025-12-28,Delhi,North West Delhi,110086,56.0,7.0,0.0,0.0,0.0,52.0,246.0,0.0
2025-09-29,Delhi,North West Delhi,110086,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,Delhi,North West Delhi,110086,5.0,4.0,0.0,60.0,58.0,12.0,135.0,58.0
2025-10-29,Delhi,North West Delhi,110086,5.0,4.0,0.0,60.0,58.0,12.0,135.0,58.0
2025-11-29,Delhi,North West Delhi,110086,0.0,0.0,0.0,0.0,0.0,6.0,139.0,0.0
2025-11-29,Delhi,North West Delhi,110086,0.0,0.0,0.0,0.0,0.0,6.0,139.0,0.0
2025-12-29,Delhi,North West Delhi,110086,41.0,6.0,0.0,141.0,196.0,24.0,203.0,196.0
2025-09-30,Delhi,North West Delhi,110086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,Delhi,North West Delhi,110086,41.0,12.0,0.0,112.0,144.0,12.0,69.0,144.0
2025-10-31,Delhi,North West Delhi,110086,26.0,3.0,0.0,121.0,142.0,19.0,183.0,142.0
2025-10-31,Delhi,North West Delhi,110086,26.0,3.0,0.0,121.0,142.0,19.0,183.0,142.0
2025-12-31,Delhi,North West Delhi,110086,124.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-20,Maharashtra,Mumbai,400088,0.0,0.0,0.0,13.0,18.0,0.0,0.0,18.0
2025-09-01,West Bengal,South Twenty Four Parganas,743374,0.0,1.0,0.0,1.0,4.0,1.0,22.0,4.0
2025-09-09,Odisha,Jagatsinghpur,754145,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2025-12-12,Maharashtra,Mumbai( Sub Urban ),400077,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2025-09-07,Karnataka,Kodagu,571237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,Tamil Nadu,Dindigul,624619,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0
2025-10-28,Karnataka,Haveri,581212,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
2025-10-20,Assam,Tinsukia,786145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-08,Tamil Nadu,The Nilgiris,643219,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0
2025-10-15,Gujarat,Ahmedabad,382433,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
2025-09-09,Assam,Karimganj,788713,2.0,5.0,0.0,10.0,1.0,0.0,6.0,1.0
2025-10-28,Karnataka,Vijayapura,586119,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2025-12-21,Karnataka,Raichur,584167,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-09-23,Karnataka,Udupi,574117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,Uttar Pradesh,Agra,283101,4.0,2.0,1.0,31.0,10.0,9.0,50.0,5.0
2025-12-05,Telangana,Khammam,507137,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2025-11-03,West Bengal,Murshidabad,742213,10.0,0.0,0.0,10.0,33.0,0.0,0.0,33.0
2025-12-27,Andhra Pradesh,Ananthapuramu,515201,0.0,0.0,0.0,6.0,3.0,0.0,1.0,3.0
2025-10-26,Maharashtra,Pune,410510,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
2025-09-08,West Bengal,East Midnapore,721632,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2025-10-26,Uttar Pradesh,Jalaun,285129,0.0,0.0,0.0,4.0,2.0,1.0,14.0,2.0
2025-07-01,Andhra Pradesh,East Godavari,507135,0.0,0.0,0.0,95.0,98.0,0.0,0.0,98.0
2025-09-16,Uttar Pradesh,Varanasi,221106,1.0,2.0,0.0,8.0,8.0,1.0,18.0,8.0
2025-12-25,Uttar Pradesh,Ballia,277204,0.0,4.0,0.0,6.0,4.0,0.0,4.0,4.0
2025-12-16,Bihar,Patna,801101,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-11-15,Odisha,Sundergarh,770044,3.0,0.0,0.0,3.0,3.0,2.0,9.0,3.0
2025-09-09,Andhra Pradesh,Nizamabad,503213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-06,Chhattisgarh,Dhamtari,493889,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-11-02,Telangana,Warangal,506004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-09-03,Himachal Pradesh,Shimla,171211,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-12-09,West Bengal,Darjiling,734012,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
2025-10-18,Arunachal Pradesh,Papum Pare,791112,2.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0
2025-12-23,Chandigarh,Chandigarh,160001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-11-07,Uttar Pradesh,Kheri,262728,1.0,2.0,0.0,9.0,5.0,0.0,0.0,5.0
2025-10-24,Bihar,Patna,800018,0.0,1.0,0.0,0.0,3.0,0.0,7.0,3.0
2025-12-21,Odisha,Jagatsinghpur,754142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-12-28,West Bengal,Uttar Dinajpur,733130,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0
2025-12-26,Tamil Nadu,Viluppuram,605651,0.0,0.0,0.0,1.0,5.0,0.0,4.0,5.0
2025-11-29,Uttar Pradesh,Deoria,274601,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0
2025-11-14,Madhya Pradesh,Seoni,480994,3.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0
2025-11-07,Telangana,Narayanpet,509352,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0
2025-12-22,Odisha,Khorda,751020,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2025-10-25,Tamil Nadu,Chennai,600028,2.0,0.0,0.0,43.0,12.0,3.0,19.0,12.0
2025-11-08,Gujarat,Dahod,389170,9.0,3.0,2.0,16.0,34.0,5.0,35.0,11.333333333333334
2025-11-03,Andhra Pradesh,Nalgonda,508376,0.0,0.0,0.0,3.0,4.0,0.0,4.0,4.0
2025-09-18,Kerala,Ernakulam,682025,1.0,1.0,0.0,1.0,4.0,0.0,7.0,4.0
2025-12-02,Gujarat,Ahmadabad,380059,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
2025-10-31,Maharashtra,Gondiya,441807,2.0,0.0,0.0,16.0,84.0,2.0,116.0,84.0
2025-11-28,Andhra Pradesh,Anantapur,515003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-03,Maharashtra,Pune,412108,0.0,0.0,3.0,2.0,1.0,2.0,38.0,0.25
2025-09-12,Andhra Pradesh,West Godavari,534247,2.0,0.0,0.0,2.0,2.0,1.0,7.0,2.0
2025-11-03,Karnataka,Davangere,577231,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-01,Odisha,JAJPUR,755018,0.0,0.0,0.0,77.0,137.0,60.0,368.0,137.0
2025-12-11,Assam,Lakhimpur,784163,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
2025-09-02,Odisha,Dhenkanal,759022,1.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0
2025-12-04,Andhra Pradesh,Tirupati,517588,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2025-11-10,Madhya Pradesh,Morena,476444,23.0,3.0,0.0,20.0,12.0,3.0,32.0,12.0
2025-10-24,Andhra Pradesh,Bapatla,523184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-19,Maharashtra,Mumbai City,400004,3.0,0.0,2.0,8.0,4.0,0.0,0.0,1.3333333333333333
2025-12-12,Kerala,Kottayam,686520,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2025-09-01,Uttar Pradesh,Unnao,209801,21.0,31.0,2.0,92.0,78.0,0.0,0.0,26.0
2025-12-02,Rajasthan,Ajmer,305024,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
2025-12-19,Odisha,Khorda,752018,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2025-12-08,West Bengal,North 24 Parganas,700128,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
2025-12-08,Andhra Pradesh,Karimnagar,505529,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-10-19,Haryana,Rewari,122502,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0
2025-09-24,Uttarakhand,Udham Singh Nagar,262308,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,Maharashtra,Kolhapur,416213,0.0,0.0,0.0,13.0,21.0,2.0,12.0,21.0
2025-12-06,Madhya Pradesh,Sehore,466446,0.0,0.0,0.0,1.0,9.0,1.0,12.0,9.0
2025-11-25,Jharkhand,Bokaro,829132,1.0,0.0,0.0,6.0,7.0,0.0,1.0,7.0
2025-12-22,Tamil Nadu,Tiruvannamalai,606603,3.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0
2025-12-06,Orissa,Ganjam,761003,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2025-12-14,Tripura,Sepahijala,799103,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0
2025-12-19,Chhattisgarh,Balrampur,497118,0.0,0.0,0.0,97.0,31.0,5.0,69.0,31.0
2025-09-01,Goa,North Goa,403510,0.0,0.0,0.0,2.0,3.0,1.0,3.0,3.0
2025-10-19,Andhra Pradesh,Krishna,521181,0.0,0.0,0.0,2.0,9.0,3.0,4.0,9.0
2025-09-14,West Bengal,Nadia,741127,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
2025-09-04,Punjab,Amritsar,143204,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
2025-12-23,Tamil Nadu,Theni,625516,3.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0
2025-09-18,West Bengal,Hugli,712409,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2025-11-04,West Bengal,Jalpaiguri,735132,0.0,0.0,0.0,6.0,15.0,5.0,60.0,15.0
2025-12-16,Jammu and Kashmir,Jammu,181132,0.0,0.0,0.0,18.0,33.0,1.0,11.0,33.0
2025-09-02,Telangana,Medak,502290,2.0,0.0,0.0,5.0,16.0,5.0,43.0,16.0
2025-09-24,Bihar,Sitamarhi,843330,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-15,Mizoram,Kolasib,796101,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2025-12-29,Punjab,SAS Nagar (Mohali),140901,0.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0
2025-11-02,Karnataka,Hassan,573119,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2025-11-16,Uttar Pradesh,Fatehpur,212635,3.0,0.0,0.0,38.0,17.0,0.0,0.0,17.0
2025-11-18,Odisha,Puri,752118,3.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0
2025-11-01,Karnataka,Hassan,573122,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-12-21,Karnataka,Bangalore,562149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-09-01,Maharashtra,Chandrapur,441228,2.0,0.0,0.0,7.0,7.0,0.0,6.0,7.0
2025-11-11,Tamil Nadu,Namakkal,637001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-21,Bihar,Samastipur,848301,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
2025-10-31,Karnataka,Chamrajanagar,571127,5.0,0.0,0.0,11.0,5.0,1.0,13.0,5.0
2025-11-19,West Bengal,Darjeeling,734434,7.0,0.0,0.0,3.0,5.0,1.0,33.0,5.0
2025-09-24,Jammu and Kashmir,Jammu,181121,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,Karnataka,Hassan,573133,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
2025-09-17,Kerala,Thrissur,680670,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0
2025-10-24,Andhra Pradesh,Khammam,507305,0.0,0.0,0.0,5.0,3.0,2.0,7.0,3.0
2025-12-18,Kerala,Kozhikode,673517,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-12-10,Maharashtra,Ahmadnagar,422611,0.0,0.0,0.0,6.0,17.0,0.0,10.0,17.0
2025-11-13,Orissa,Koraput,764056,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2025-09-12,Telangana,Sangareddy,502291,0.0,0.0,0.0,1.0,2.0,3.0,22.0,2.0
2025-09-04,Tamil Nadu,Kancheepuram,600059,1.0,0.0,0.0,4.0,5.0,1.0,7.0,5.0
2025-10-30,Jammu and Kashmir,Doda,182205,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2025-10-26,Andhra Pradesh,Nalgonda,508211,0.0,0.0,0.0,6.0,13.0,0.0,0.0,13.0
2025-10-27,Bihar,Purnia,854329,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
2025-11-11,Karnataka,Bangalore,560075,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-12-31,West Bengal,Cooch Behar,736158,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,Madhya Pradesh,Shajapur,465516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-12-14,Telangana,Siddipet,502311,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
